index,img,target,0,1,2,3,4,5,6,7
0,PNEUMONIA(3189).jpg,2,-1.317997098,13.34376144,0.349806249,0.991162002,5.823415756,566667.5,0,-0.12453936
1,PNEUMONIA(2169).jpg,2,-1.306903005,12.90178776,0.27439037,0.988456964,5.849742889,523373.5,0,-0.10189601
2,PNEUMONIA(969).jpg,2,-1.248508096,13.74850368,0.323827565,0.994539261,6.189129829,1256708,0,-0.063111641
3,PNEUMONIA(704).jpg,2,-1.175765753,11.98566818,0.224428564,0.99081701,5.973395824,644897.5,0,-0.07385958
4,PNEUMONIA(1952).jpg,2,-1.330072403,12.36884785,0.303257704,0.985383689,5.561874866,283215.5,0,-0.147305548
5,PNEUMONIA(2307).jpg,2,-1.23410666,13.39874172,0.306816995,0.99522084,6.140137672,1088300.5,0,-0.020970801
6,PNEUMONIA(2890).jpg,2,-1.192457318,12.64979267,0.36459747,0.994258404,5.874834061,664425,0,-0.035111353
7,PNEUMONIA(2601).jpg,2,-1.309494138,12.15996742,0.275918007,0.983628452,5.592878342,290279,0,-0.133897841
8,PNEUMONIA(1266).jpg,2,-1.340951443,13.71814251,0.375870436,0.992083669,5.842387676,621346,0,-0.101536155
9,PNEUMONIA(1961).jpg,2,-1.250005245,12.94500065,0.50740993,0.994691908,5.575984001,457294.5,0,-0.057478916
10,PNEUMONIA(2693).jpg,2,-1.011206985,7.774065018,0.15204367,0.916249156,4.863548756,44733.5,0.30103001,-0.491660297
11,PNEUMONIA(1237).jpg,2,-1.299019814,14.5590229,0.461905718,0.997900963,6.074781895,1272964,0,-0.015204773
12,PNEUMONIA(75).jpg,2,-1.177570462,12.81002045,0.376151115,0.995075107,5.95420742,819325,0,-0.054146457
13,PNEUMONIA(1333).jpg,2,-1.45747602,15.32434368,0.495791435,0.99691236,5.858661175,821443,0,-0.03035352
14,PNEUMONIA(1980).jpg,2,-1.305689454,13.54782486,0.424040139,0.993724942,5.787487507,607205,0,-0.050383247
15,PNEUMONIA(1206).jpg,2,-1.384119511,14.75246334,0.464674473,0.995689332,5.912558079,876339.5,0,-0.039924458
16,PNEUMONIA(303).jpg,2,-1.231968999,11.42113686,0.171631813,0.978037953,5.76518631,364572,0,-0.169689819
17,PNEUMONIA(3393).jpg,2,-1.360309839,12.87831974,0.37018007,0.987025261,5.536372662,302804,0,-0.145677105
18,PNEUMONIA(1242).jpg,2,-1.399210453,14.30789375,0.400370538,0.994473696,5.84826231,655773.5,0,-0.04651415
19,PNEUMONIA(192).jpg,2,-1.363675237,13.59303951,0.393387973,0.989851832,5.716719151,480687,0,-0.107361287
20,PNEUMONIA(2296).jpg,2,-1.072254181,8.902151108,0.271096617,0.949993014,4.913660049,62011,0,-0.402628392
21,PNEUMONIA(3332).jpg,2,-1.411518812,13.31667233,0.484797686,0.987285912,5.36905241,261587,0,-0.133474022
22,PNEUMONIA(2520).jpg,2,-1.253549695,13.15642262,0.395542949,0.993724942,5.835994244,642322.5,0,-0.049962364
23,PNEUMONIA(696).jpg,2,-1.340028167,13.47474957,0.429544568,0.993227601,5.671456337,469107,0,-0.06976977
24,PNEUMONIA(2487).jpg,2,-1.34360075,13.14740276,0.302436858,0.990893722,5.787250519,475058,0,-0.097724497
25,PNEUMONIA(629).jpg,2,-1.42164886,14.1463747,0.388780236,0.994539261,5.763110161,524481.5,0,-0.069652669
26,PNEUMONIA(2660).jpg,2,-1.262932777,13.11672783,0.328234345,0.99383688,5.922972202,685701,0,-0.066608086
27,PNEUMONIA(1581).jpg,2,-1.390713334,13.65602016,0.371760786,0.989910126,5.713098049,454172,0,-0.096898064
